"","maker","device_count","resource_location","maker_url","maker_id","maker_indx"
"110","vivo",389,"vivo-phones-98.php","https://www.gsmarena.com/vivo-phones-98.php","vivo","98"
"111","VK Mobile",31,"vk_mobile-phones-37.php","https://www.gsmarena.com/vk_mobile-phones-37.php","vk_mobile","37"
"112","Vodafone",87,"vodafone-phones-53.php","https://www.gsmarena.com/vodafone-phones-53.php","vodafone","53"
"113","Wiko",98,"wiko-phones-96.php","https://www.gsmarena.com/wiko-phones-96.php","wiko","96"
"114","WND",5,"wnd-phones-51.php","https://www.gsmarena.com/wnd-phones-51.php","wnd","51"
"115","XCute",4,"xcute-phones-43.php","https://www.gsmarena.com/xcute-phones-43.php","xcute","43"
"116","Xiaomi",358,"xiaomi-phones-80.php","https://www.gsmarena.com/xiaomi-phones-80.php","xiaomi","80"
"117","XOLO",81,"xolo-phones-85.php","https://www.gsmarena.com/xolo-phones-85.php","xolo","85"
"118","Yezz",113,"yezz-phones-78.php","https://www.gsmarena.com/yezz-phones-78.php","yezz","78"
"119","Yota",3,"yota-phones-99.php","https://www.gsmarena.com/yota-phones-99.php","yota","99"
"120","YU",13,"yu-phones-100.php","https://www.gsmarena.com/yu-phones-100.php","yu","100"
"121","ZTE",362,"zte-phones-62.php","https://www.gsmarena.com/zte-phones-62.php","zte","62"
